"","Name","Aces","Double.faults","X1st.serves.in","X1st.serve.points.won","X2nd.serve.points.won","Fastest.serve","Average.1st.serve.speed","Average.2nd.serve.speed","Net.points.won","Break.points.won","Receiving.points.won","Winners","Unforced.errors","Total.points.won","Round"
"57","Ernests Gulbis (LAT)",10.5,10.5,61.5,85,42,136,120,107,67,50,25.5,31.5,6,44,2
"58","Jurgen Zopp (EST)",4,7,61,72,59,NA,NA,NA,72,100,27,33,15,38,1
"59","Robin Haase (NED)",18,3,62,76.5,52.5,NA,NA,NA,59.5,25,24.5,23.5,9,7,2
"60","Vasek Pospisil (CAN)",23,8,61,83,51,NA,NA,NA,59,20,27,35,34,7,1
"61","Martin Klizan (SVK)",11,2,61,62,50,128,115,90,47,23,36,18,36,27,1
"62","Rafael Nadal (ESP)",16,4,75.5,73.5,51.5,124.5,110.5,89.5,71,41.5,37.5,24.5,22,44.5,4
"63","Jo-Wilfried Tsonga (FRA)",25.5,5,66,78.5,58.5,133.5,114.5,94,60,26.5,35,51.5,24.5,50.5,4
"64","Jurgen Melzer (AUT)",4,2,75,63,48,123,110,98,55,43,31,26,29,47,1
"65","Paolo Lorenzi (ITA)",5,4,50,61,35,126,119,91,40,0,25,37,8,48,1
"66","Roger Federer (SUI)",17.5,1,73.5,84,73,126.5,114.5,97.5,74.5,46.5,45,36,40.5,48,7
"67","Joao Sousa (POR)",24,3,73,68,50,113,99,80,74,0,25,21,9,49,1
"68","Stan Wawrinka (SUI)",17,5,56.5,82.5,53.5,132,114.5,93.5,73,41.5,38.5,8.5,16.5,69.5,5
"69","Matthew Ebden (AUS)",1,5,69,61,54,122,107,86,69,0,25,30,38,51,1
"70","Milos Raonic (CAN)",18.5,1,69,85.5,63,138,123,103,72,43.5,39,24,4,48.5,6
"71","Lleyton Hewitt (AUS)",7,3,58.5,71,54.5,115.5,100.5,82,63.5,36,41,25.5,17,75,2
"72","Michal Przysiezny (POL)",9,7,59,64,37,132,119,102,47,60,35,27,39,19,1
"73","Daniel Smethurst (GBR)",5,8,60,74,51,119,108,95,75,0,24,39,17,18,1
"74","John Isner (USA)",29,1,72,84,67,138.5,127,111.5,65,26,31,16.5,19,32,3
"75","Kei Nishikori (JPN)",2,2.5,67,73.5,73,121.5,110,92.5,74.5,48.5,41,23,22.5,66.5,4
"76","Kenny De Schepper (FRA)",16,9,67,82,53,135,124,116,65,0,22,26,6,53,1
"77","Feliciano Lopez (ESP)",13.5,6,57.5,87,68,132.5,122,103,77,25,34.5,15.5,10.5,71,4
"78","Yuichi Sugita (JPN)",22,7,65,75,44,120,105,86,65,14,26,40,37,55,1
"79","James Duckworth (AUS)",14,5,64,59,56,134,121,100,52,14,25,13,31,38,1
"80","Richard Gasquet (FRA)",13.5,4.5,68,80.5,53.5,123.5,108.5,94,74,24,38,44.5,14.5,49.5,2
"81","Gael Monfils (FRA)",21,3.5,72.5,77.5,49.5,131,112.5,101,63,19,32.5,42.5,13,60,2
"82","Malek Jaziri (TUN)",18,8,54,74,49,127,119,90,59,40,31,6,40,17,1
"83","Denis Kudla (USA)",8,4.5,57.5,59.5,46.5,129,115,94,58,52.5,36.5,22.5,12.5,77,2
"84","Marsel Ilhan (TUR)",7,1,57,66,48,NA,NA,NA,63,36,37,43,41,57,1
"85","Simone Bolelli (ITA)",11,5.5,62.5,76.5,57,NA,NA,NA,68,33.5,34,19,23,26,3
"86","Tatsuma Ito (JPN)",11,5,65,64,69,NA,NA,NA,65,29,27,6,31,16,1
"87","Nick Kyrgios (AUS)",25.5,4.5,69,74,52,129,116,90,74.5,48,36,54.5,44,75,5
"88","Stephane Robert (FRA)",6,10,54,67,49,NA,NA,NA,80,25,31,15,42,59,1
"89","Igor Sijsling (NED)",20,4,61,73,42,NA,NA,NA,50,0,25,45,30,51,1
"90","Philipp Kohlschreiber (GER)",10,2,68.5,72,67.5,NA,NA,NA,68.5,50,37,33.5,34,17,2
"91","Jerzy Janowicz (POL)",12.5,12,58,77.5,50,134,117,96,67.5,50,38.5,42,44,65,3
"92","Somdev Devvarman (IND)",13,2,51,77,45,NA,NA,NA,54,36,34,25,36,61,1
"93","Lukas Lacko (SVK)",21,4,70,63,55,NA,NA,NA,63,67,30,22,45,62,1
"94","Tommy Robredo (ESP)",8,3,68.5,77.5,48,NA,NA,NA,68,32,42,25,14,73.5,4
"95","Jan-Lennard Struff (GER)",13,5,64,78,50,NA,NA,NA,71,0,31,46,8,17,1
"96","Lukasz Kubot (POL)",18.5,10.5,55,79.5,61.5,NA,NA,NA,60,48,31.5,37.5,36,80.5,3
"97","Bradley Klahn (USA)",7,9,67,66,50,NA,NA,NA,64,11,26,7,32,9,1
"98","Sam Querrey (USA)",31.5,6,65.5,80.5,58,131,114,85,68,33.5,32,56,19.5,75,2
"99","Adrian Mannarino (FRA)",6,6,69,69,50,NA,NA,NA,69,44,38,29,21.5,61,2
"100","Pere Riba (ESP)",13,4,65,62,47,NA,NA,NA,60,0,29,18,7,65,1
"101","Benoit Paire (FRA)",10,5,57,85,50,NA,NA,NA,67,25,30,24,18,66,1
"102","Lukas Rosol (CZE)",15.5,3.5,62,76,57,133,119,100,64,40,29,33,18,64.5,2
"103","Federico Delbonis (ARG)",4,4,59,82,50,NA,NA,NA,74,0,20,16,30,68,1
"104","Jarkko Nieminen (FIN)",8.5,5,73.5,83.5,58.5,126,114,87,88,16.5,24,31.5,25.5,27.5,2
"105","Dusan Lajovic (SRB)",11.5,6,66,72.5,54,NA,NA,NA,62.5,22.5,30.5,11.5,23.5,38.5,2
"106","Guillermo Garcia-Lopez (ESP)",6,7,60,77,50,NA,NA,NA,73,19,36,47,47,69,1
"107","Julian Reister (GER)",17.5,6.5,74,72.5,38.5,NA,NA,NA,62,38.5,35.5,43.5,41.5,38,2
"108","Michael Russell (USA)",2,9,64,68,52,NA,NA,NA,71,14,36,8,23,70,1
"109","Daniel Gimeno-Traver (ESP)",5,4,62,58,32,NA,NA,NA,38,25,30,21,18,72,1
"110","Santiago Giraldo (COL)",18,2,66,76,49.5,130,113,87,69,57.5,43.5,45,12.5,52,3
"111","Alejandro Falla (COL)",20,8,60,67,50,NA,NA,NA,50,20,35,11,2,73,1
"112","Ante Pavic (CRO)",15.5,10,57.5,76,53,130,121,105,58,25,28,24,11.5,42.5,2
"113","Dudi Sela (ISR)",3,2,61,63,56,NA,NA,NA,63,9,34,45,36,28,1
