"","ID","purchase","s.ahead","d.stay","s.weekd","in.weekd","out.weekd","room","adult","child","minstar","match","s.name","n.search","page","click","time"
"1",1,0,56,3,"Thursday","Thursday","Sunday",1,1,0,0,267,"",1,1,1,0
"2",2,0,0,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,2,0,0
"3",3,0,16,4,"Thursday","Sunday","Thursday",1,1,0,0,266,"",5,5,5,0.380555555555556
"5",5,0,54,1,"Thursday","Tuesday","Wednesday",1,2,0,50,15,"",1,1,0,0
"7",7,0,9,3,"Thursday","Sunday","Wednesday",1,1,0,0,2,"starlight suiten",1,1,0,0
"8",8,1,98,1,"Thursday","Friday","Saturday",1,1,0,0,266,"",2,3,2,0.00611111111111111
"9",9,1,0,2,"Thursday","Friday","Sunday",1,1,0,0,266,"",1,2,2,0
"10",10,0,15,3,"Thursday","Friday","Monday",1,2,0,0,1,"novotel budapest centrum",2,2,2,0.0311111111111111
"11",11,0,27,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",1,1,0,0
"14",14,0,84,4,"Thursday","Thursday","Monday",1,1,0,0,267,"",1,2,0,0
"16",16,1,6,2,"Thursday","Thursday","Saturday",1,1,0,0,266,"",4,7,5,0.141388888888889
"17",17,0,11,3,"Thursday","Monday","Thursday",1,1,0,0,267,"",2,2,1,141.948055555556
"18",18,0,35,4,"Thursday","Friday","Tuesday",1,2,0,0,266,"",5,6,9,8.27083333333333
"21",21,0,12,1,"Thursday","Wednesday","Thursday",1,2,0,30,266,"central hotel 21",31,37,20,114.66
"22",22,0,56,3,"Thursday","Thursday","Sunday",2,2,0,20,170,"",3,3,0,0.0161111111111111
"24",24,0,18,1,"Thursday","Tuesday","Wednesday",1,2,0,0,266,"europeum",18,18,3,352.239444444444
"25",25,0,46,3,"Thursday","Tuesday","Friday",1,1,0,0,266,"",1,1,0,0
"26",26,0,0,1,"Sunday","Monday","Tuesday",1,2,0,0,268,"",6,6,0,249.309166666667
"27",27,0,12,4,"Thursday","Tuesday","Saturday",1,2,0,0,267,"Danubius Astoria",2,2,1,0.00777777777777778
"28",28,0,15,1,"Thursday","Friday","Saturday",1,2,0,0,266,"",1,1,0,0
"29",29,0,19,1,"Thursday","Tuesday","Wednesday",1,1,0,0,266,"",7,8,0,6.54222222222222
"30",30,0,16,2,"Thursday","Sunday","Tuesday",1,2,0,0,266,"",1,1,0,0
"34",34,0,0,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,1,0
"35",35,0,39,2,"Thursday","Monday","Wednesday",1,2,0,40,83,"",2,2,1,0.0133333333333333
"36",36,0,138,3,"Thursday","Tuesday","Friday",1,2,0,0,267,"",4,4,0,0.0127777777777778
"38",38,0,29,3.04166666666667,"Thursday","Friday","Monday",1,2,0,0,267,"",23,30,8,288.907777777778
"39",39,0,3,2,"Friday","Monday","Wednesday",1,4,0,0,266,"",8,10,2,24.4552777777778
"40",40,0,8,1,"Thursday","Saturday","Sunday",1,1,0,0,266,"",2,2,0,0.00638888888888889
"42",42,0,11,4,"Thursday","Tuesday","Saturday",2,1,0,0,266,"",4,4,1,0.0316666666666667
"43",43,0,43,1,"Thursday","Saturday","Sunday",1,1,0,0,266,"",1,2,1,0
"44",44,1,1,2,"Thursday","Friday","Sunday",1,3,0,0,0,"",1,3,7,0
"47",47,1,3,7,"Thursday","Sunday","Sunday",2,1,0,0,267,"",7,8,13,49.5
"49",49,0,15,7,"Thursday","Friday","Friday",1,2,0,0,266,"",3,3,1,0.0313888888888889
"50",50,0,14,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",9,12,2,26.0408333333333
"51",51,0,2,4,"Thursday","Saturday","Wednesday",1,1,0,0,267,"",1,1,0,0
"52",52,1,23,1,"Thursday","Sunday","Monday",2,2,0,0,266,"",1,2,3,0
"53",53,0,178,10,"Thursday","Sunday","Wednesday",1,2,0,40,83,"",1,1,0,0
"55",55,0,80,3,"Thursday","Sunday","Wednesday",1,2,0,0,267,"",2,2,0,0.00555555555555555
"56",56,0,2,2,"Thursday","Sunday","Tuesday",1,1,0,0,266,"",1,1,0,0
"57",57,0,35,4,"Thursday","Thursday","Monday",1,2,0,0,267,"",1,1,2,0
"60",60,0,90,3,"Thursday","Wednesday","Saturday",1,3,0,0,267,"",1,1,1,0
"61",61,0,0,3,"Thursday","Friday","Monday",1,2,0,50,15,"",14,17,11,310.885
"62",62,0,56,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",1,1,1,0
"63",63,0,30,3.04166666666667,"Thursday","Sunday","Wednesday",1,2,0,50,15,"",2,2,10,64.7894444444444
"65",65,0,6,2,"Thursday","Wednesday","Friday",1,1,0,0,266,"",1,1,0,0
"66",66,0,46,4,"Thursday","Tuesday","Saturday",1,2,0,0,266,"",13,15,20,104.438611111111
"67",67,0,178,10,"Thursday","Sunday","Wednesday",1,2,0,0,267,"",1,1,0,0
"69",69,0,39,1,"Thursday","Monday","Tuesday",1,2,0,0,266,"",1,1,0,0
"70",70,0,61,7,"Thursday","Wednesday","Wednesday",1,2,0,0,1,"Promenade City Hotel",1,1,1,0
"71",71,0,2,9,"Thursday","Sunday","Tuesday",1,2,3,0,266,"",1,1,1,0
"72",72,0,24,4,"Thursday","Monday","Friday",1,2,3,0,266,"",1,1,2,0
"73",73,0,22,3.04166666666667,"Thursday","Friday","Monday",1,2,0,0,267,"",4,7,10,151.755
"74",74,1,2,2,"Thursday","Sunday","Tuesday",1,1,0,50,15,"",5,5,13,6.55666666666667
"76",76,0,38,3,"Thursday","Monday","Thursday",1,2,0,0,266,"",2,2,6,0.00333333333333333
"77",77,0,40,1,"Sunday","Friday","Saturday",1,2,0,0,266,"",3,3,0,61.0536111111111
"78",78,0,51,1,"Thursday","Sunday","Monday",1,2,0,0,266,"",1,1,0,0
"80",80,0,10,2,"Thursday","Monday","Wednesday",1,2,0,0,266,"",1,2,3,0
"81",81,1,15,3,"Thursday","Friday","Monday",1,2,0,0,0,"",3,5,3,0.0225
"82",82,0,87,6,"Thursday","Monday","Sunday",1,2,0,0,266,"",11,15,15,18.5716666666667
"83",83,1,9,4,"Thursday","Saturday","Wednesday",2,1,0,0,267,"",3,3,5,0.24
"84",84,0,82,4,"Thursday","Wednesday","Sunday",1,2,0,0,266,"",2,2,0,0.00361111111111111
"86",86,0,7,11,"Thursday","Friday","Tuesday",1,2,0,0,266,"",2,2,0,0.0105555555555556
"87",87,0,27,1,"Thursday","Thursday","Friday",1,2,0,0,266,"",1,1,0,0
"88",88,0,14,7,"Thursday","Friday","Friday",1,1,0,0,266,"",4,4,0,0.0372222222222222
"89",89,0,0,3,"Thursday","Friday","Monday",1,1,1,0,266,"",8,8,3,0.0861111111111111
"90",90,0,11,1,"Thursday","Monday","Tuesday",1,1,0,0,266,"",2,2,1,0.0144444444444444
"92",92,0,0,3,"Thursday","Friday","Monday",1,1,1,0,266,"",2,2,1,0.00305555555555556
"97",97,0,55,6,"Thursday","Wednesday","Tuesday",1,2,0,40,82,"",2,2,1,0.0025
"100",100,0,9,1,"Thursday","Saturday","Sunday",1,2,0,0,267,"",1,1,0,0
"101",101,0,51,3,"Thursday","Sunday","Wednesday",1,1,0,0,266,"",2,2,1,0.0586111111111111
"102",102,0,1,1,"Thursday","Friday","Saturday",1,1,0,0,266,"",2,2,0,0.00666666666666667
"103",103,0,56,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",1,1,0,0
"104",104,0,77,3,"Friday","Friday","Monday",1,2,0,0,48,"",11,11,6,91.2686111111111
"106",106,0,101,3,"Thursday","Monday","Thursday",1,1,0,0,266,"",2,2,1,0.00583333333333333
"108",108,0,27,4,"Thursday","Wednesday","Sunday",1,3,0,0,266,"",2,2,0,0.0133333333333333
"109",109,0,27,4,"Thursday","Wednesday","Sunday",1,2,0,0,48,"",10,12,14,2.2925
"110",110,0,14,2,"Thursday","Friday","Sunday",1,2,0,40,82,"",11,13,2,0.433055555555556
"111",111,0,91,1,"Tuesday","Wednesday","Thursday",1,1,0,0,272,"",8,8,0,308.633888888889
"112",112,0,47,13,"Thursday","Tuesday","Monday",1,2,0,0,267,"",2,3,3,0.559444444444445
"114",114,0,20,2,"Friday","Friday","Sunday",1,2,0,0,0,"",12,12,11,147.417777777778
"115",115,0,42,3,"Friday","Saturday","Tuesday",1,2,0,0,266,"",7,7,5,27.0958333333333
"116",116,0,4,11,"Thursday","Monday","Friday",1,1,0,0,266,"",5,5,1,0.183333333333333
"117",117,0,7,2,"Thursday","Friday","Sunday",1,1,0,0,266,"",12,13,4,170.388333333333
"119",119,0,98,3,"Thursday","Thursday","Sunday",1,2,0,40,82,"",2,4,0,0.00555555555555555
"122",122,0,98,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",1,1,2,0
"124",124,0,16,3,"Thursday","Sunday","Wednesday",1,2,0,0,266,"art otel",6,7,1,0.0502777777777778
"125",125,0,9,1,"Thursday","Sunday","Monday",1,1,0,0,266,"",1,1,0,0
"126",126,0,2,1,"Thursday","Saturday","Sunday",1,1,0,0,267,"",1,1,0,0
"127",127,0,39,4,"Thursday","Monday","Friday",1,2,0,0,266,"",5,5,5,119.221944444444
"128",128,0,0,3,"Thursday","Friday","Monday",1,1,0,0,266,"",2,2,0,0.0075
"129",129,0,69,4,"Thursday","Thursday","Monday",1,2,0,40,12,"",15,16,2,0.581388888888889
"130",130,0,7,2,"Thursday","Friday","Sunday",1,1,0,0,266,"",2,2,0,0.00416666666666667
"131",131,0,30,5.04166666666667,"Thursday","Saturday","Thursday",1,2,0,0,266,"",1,1,0,0
"132",132,0,98,3,"Thursday","Friday","Monday",1,1,0,0,266,"",7,7,6,0.295555555555556
"136",136,0,11,4,"Sunday","Friday","Tuesday",1,3,0,0,266,"",19,19,7,212.599166666667
"137",137,0,21,4,"Sunday","Monday","Friday",1,2,0,0,266,"",5,6,8,65.3955555555555
"138",138,0,36,4,"Thursday","Friday","Tuesday",3,1,0,0,267,"",3,4,1,237.817222222222
"140",140,0,19,1,"Thursday","Wednesday","Thursday",1,2,0,0,266,"",1,1,1,0
"141",141,0,7,2,"Thursday","Thursday","Saturday",1,1,0,20,169,"",9,13,2,29.4030555555556
"143",143,0,89,4,"Thursday","Tuesday","Saturday",2,2,0,0,266,"",1,1,1,0
"145",145,0,5,2,"Saturday","Friday","Sunday",1,2,0,0,266,"",5,6,1,62.5447222222222
"147",147,0,45,4,"Thursday","Monday","Friday",1,2,0,40,82,"",2,3,1,0.00277777777777778
"149",149,0,98,2,"Thursday","Friday","Sunday",2,2,0,40,82,"",2,2,1,0.0183333333333333
"150",150,0,2,4,"Thursday","Saturday","Wednesday",1,1,0,0,267,"",3,4,1,40.2255555555556
"152",152,1,25,3,"Thursday","Monday","Thursday",1,2,0,40,83,"",2,4,4,0.0922222222222222
"153",153,0,9,5,"Thursday","Sunday","Friday",2,1,0,0,1,"Bristol",1,1,1,0
"154",154,0,14,3,"Thursday","Friday","Monday",1,3,0,0,266,"",2,2,0,0.0211111111111111
"155",155,1,54,1,"Thursday","Tuesday","Wednesday",1,2,0,50,15,"",1,1,3,0
"156",156,0,37,1,"Thursday","Saturday","Sunday",1,2,0,0,48,"",3,3,1,0.0377777777777778
"157",157,1,39,3,"Thursday","Tuesday","Friday",1,2,0,0,266,"",7,11,4,1.43805555555556
"160",160,0,23,3,"Thursday","Saturday","Tuesday",1,2,0,0,267,"",5,5,0,0.0452777777777778
"161",161,1,149,4,"Thursday","Sunday","Thursday",1,2,0,40,82,"",6,11,9,0.943055555555556
"162",162,1,25,4.04166666666667,"Saturday","Thursday","Monday",1,2,1,0,266,"",5,6,4,60.0244444444444
"168",168,0,3,2,"Thursday","Monday","Wednesday",1,1,0,40,82,"",1,1,0,0
"169",169,0,25,4,"Thursday","Monday","Friday",1,1,0,0,266,"",14,33,24,118.627222222222
"170",170,0,3,4,"Thursday","Monday","Friday",1,2,0,0,48,"",2,2,0,0.0111111111111111
"171",171,0,25,5,"Thursday","Monday","Saturday",1,1,0,0,266,"",1,1,0,0
"173",173,0,6,1,"Thursday","Wednesday","Thursday",1,1,0,0,267,"",1,1,0,0
"174",174,0,2,1,"Thursday","Saturday","Sunday",1,1,0,0,266,"",5,5,2,0.611388888888889
"175",175,0,64,4,"Thursday","Saturday","Wednesday",1,2,0,0,266,"",1,1,1,0
"176",176,0,14,4,"Thursday","Friday","Tuesday",1,1,0,40,82,"",1,1,1,0
"178",178,0,35,3,"Thursday","Thursday","Sunday",1,3,0,0,267,"",2,2,2,33.0272222222222
"179",179,0,9,5,"Thursday","Sunday","Friday",1,1,0,0,266,"",1,1,0,0
"180",180,0,52,3,"Thursday","Sunday","Wednesday",4,2,0,0,266,"",3,5,3,0.238611111111111
"181",181,0,3,3,"Thursday","Monday","Thursday",1,1,0,30,162,"",8,8,3,16.2361111111111
"182",182,0,21,1,"Thursday","Friday","Saturday",1,1,0,40,82,"",2,2,0,0.0161111111111111
"183",183,0,4,4,"Thursday","Monday","Friday",1,1,0,0,267,"",3,3,0,0.0208333333333333
"184",184,0,50,3,"Thursday","Saturday","Tuesday",1,2,0,0,266,"",3,3,2,0.0619444444444444
"185",185,0,58,13,"Thursday","Sunday","Saturday",1,2,1,0,266,"",1,1,0,0
"186",186,0,21,3,"Thursday","Thursday","Sunday",1,2,0,40,82,"",1,1,0,0
"187",187,0,30,3.04166666666667,"Thursday","Saturday","Tuesday",1,2,0,0,266,"",1,3,3,0
"188",188,0,15,1,"Wednesday","Friday","Saturday",1,2,0,0,267,"",4,4,0,146.463888888889
"190",190,0,131,1,"Thursday","Tuesday","Wednesday",1,2,0,30,163,"",7,20,0,0.338888888888889
"192",192,0,5,1,"Thursday","Wednesday","Thursday",1,1,0,0,266,"",2,4,3,0.0288888888888889
"193",193,0,8,2,"Sunday","Tuesday","Thursday",1,2,0,0,1,"Corinthia",3,3,2,69.7025
"194",194,0,64,3,"Thursday","Saturday","Tuesday",1,2,0,30,162,"",2,2,1,0.0125
"195",195,0,23,2.04166666666667,"Wednesday","Saturday","Monday",2,1,1,50,15,"",4,4,1,140.718055555556
"199",199,1,25,7.04166666666667,"Thursday","Tuesday","Tuesday",1,2,0,30,162,"",8,9,5,48.115
"201",201,0,15,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",2,2,5,0.146111111111111
"202",202,0,177,1,"Thursday","Sunday","Monday",1,2,2,0,266,"",3,3,0,267.207777777778
"203",203,0,16,2,"Thursday","Saturday","Monday",1,2,0,40,83,"",2,2,3,32.2694444444444
"204",204,0,133,3,"Thursday","Thursday","Sunday",3,3,0,0,1,"Hotel Palazzo Zichy",1,1,1,0
"205",205,1,7,2,"Thursday","Friday","Sunday",1,2,0,0,12,"",4,5,5,0.0836111111111111
"206",206,0,15,2,"Thursday","Saturday","Monday",7,1,0,0,266,"",2,2,1,0.02
"207",207,0,22,2,"Thursday","Friday","Sunday",1,2,0,0,267,"",1,4,1,0
"208",208,1,5,2,"Monday","Saturday","Monday",1,2,0,40,82,"",5,7,5,83.8622222222222
"209",209,1,7,3,"Thursday","Friday","Monday",1,1,0,0,267,"",11,11,8,192.074722222222
"212",212,0,6,4,"Friday","Thursday","Monday",1,1,0,50,15,"",3,5,3,192.81
"213",213,0,0,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",3,3,0,0.0205555555555556
"214",214,0,12,1,"Saturday","Friday","Saturday",2,1,0,0,268,"",7,8,1,217.006944444444
"216",216,0,167,10,"Thursday","Thursday","Sunday",1,2,0,0,266,"",1,1,1,0
"217",217,0,0,2,"Thursday","Friday","Sunday",2,1,0,0,266,"",10,12,3,0.287777777777778
"219",219,1,42,2,"Thursday","Friday","Sunday",1,2,0,0,2,"Fortuna",1,1,4,0
"220",220,0,89,2,"Thursday","Wednesday","Friday",1,2,0,30,162,"",5,5,1,0.341944444444444
"221",221,1,7,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",8,13,8,245.505
"224",224,0,7,2,"Thursday","Thursday","Saturday",1,2,0,40,22,"",1,1,1,0
"226",226,0,33,3,"Thursday","Wednesday","Saturday",1,2,0,0,266,"",2,2,1,0.0419444444444444
"227",227,0,5,2,"Thursday","Wednesday","Friday",1,2,0,0,266,"",2,3,0,0.00416666666666667
"228",228,0,71,2,"Thursday","Friday","Sunday",2,2,0,0,266,"",6,6,7,0.61
"229",229,0,11,3,"Thursday","Tuesday","Friday",2,1,1,40,82,"",4,5,3,0.192777777777778
"233",233,0,21,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,0,0
"234",234,1,4,3,"Thursday","Monday","Thursday",1,1,0,0,266,"",2,2,3,0.00472222222222222
"236",236,0,19,3,"Thursday","Wednesday","Saturday",2,2,0,0,266,"",7,7,2,88.6355555555556
"238",238,0,89,4,"Thursday","Wednesday","Sunday",1,2,0,0,266,"",1,1,0,0
"239",239,0,89,4,"Thursday","Wednesday","Sunday",1,2,0,0,266,"",2,3,2,0.101388888888889
"243",243,0,16,2,"Thursday","Sunday","Tuesday",1,4,0,0,266,"",2,2,2,0.00388888888888889
"244",244,0,108,3,"Thursday","Sunday","Wednesday",1,2,0,0,266,"",2,3,0,0.00444444444444444
"246",246,0,64,2,"Thursday","Saturday","Monday",1,2,0,0,266,"",1,1,1,0
"247",247,0,5,3,"Tuesday","Sunday","Wednesday",1,1,0,0,27,"",4,4,2,284.7425
"248",248,0,11,14,"Thursday","Monday","Monday",1,2,0,0,266,"",1,1,0,0
"250",250,0,65,3,"Thursday","Saturday","Tuesday",1,2,0,0,266,"",1,1,0,0
"251",251,0,29,3.04166666666667,"Thursday","Saturday","Tuesday",2,2,0,0,266,"",2,8,1,0.0133333333333333
"253",253,0,17,3.04166666666667,"Tuesday","Saturday","Tuesday",1,6,0,0,272,"",2,2,2,287.188055555556
"254",254,0,72,2,"Thursday","Sunday","Tuesday",1,2,0,40,82,"",2,3,1,0.00444444444444444
"255",255,0,38,3,"Thursday","Sunday","Wednesday",1,3,0,0,266,"",2,3,4,0.00888888888888889
"256",256,0,87,4,"Thursday","Monday","Friday",1,2,0,0,266,"",3,3,1,0.0252777777777778
"263",263,0,63,5,"Thursday","Friday","Wednesday",1,2,0,40,82,"",4,4,0,3.3575
"266",266,0,64,5,"Thursday","Friday","Wednesday",1,2,0,40,82,"",2,2,19,0.00666666666666667
"267",267,0,35,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",1,2,1,0
"268",268,0,28,3.04166666666667,"Thursday","Friday","Monday",1,2,0,0,1,"art'otel",9,9,3,0.219166666666667
"269",269,0,11,14,"Thursday","Monday","Monday",1,2,0,0,266,"",1,1,0,0
"270",270,0,60,3,"Sunday","Friday","Monday",1,2,0,0,266,"",7,8,9,289.333611111111
"271",271,0,83,4,"Thursday","Wednesday","Sunday",1,2,0,0,267,"",2,4,3,168.880277777778
"272",272,0,166,4,"Thursday","Wednesday","Sunday",1,2,0,50,15,"",1,1,0,0
"273",273,0,8,4,"Thursday","Saturday","Wednesday",1,2,0,0,266,"",1,1,3,0
"278",278,0,34,3,"Friday","Friday","Monday",1,2,0,0,19,"",4,4,6,192.971944444444
"279",279,0,65,3,"Thursday","Sunday","Wednesday",2,2,0,30,162,"",2,3,5,3.57638888888889
"280",280,0,35,3,"Thursday","Friday","Monday",5,2,0,0,266,"",4,5,0,0.330555555555556
"281",281,0,79,4,"Thursday","Sunday","Thursday",1,2,0,0,266,"",2,3,4,0.890833333333333
"283",283,0,15,3,"Thursday","Friday","Monday",1,2,0,40,2,"Starlight Suiten Hotel",1,1,2,0
"284",284,0,66,2,"Thursday","Sunday","Tuesday",1,6,0,0,267,"",1,1,0,0
"285",285,0,66,3,"Thursday","Sunday","Wednesday",1,4,0,0,266,"",7,9,9,6.73722222222222
"288",288,0,89,3,"Thursday","Wednesday","Saturday",1,2,0,0,266,"",1,1,0,0
"289",289,0,89,7,"Thursday","Wednesday","Wednesday",2,2,0,0,266,"",7,8,6,2.48333333333333
"291",291,0,91,2,"Thursday","Friday","Sunday",1,2,0,0,266,"",1,1,1,0
"292",292,0,64,4,"Thursday","Friday","Tuesday",1,2,2,0,267,"",1,1,3,0
"294",294,0,14,3,"Thursday","Friday","Monday",1,2,0,0,266,"",3,3,0,0.08
"295",295,0,6,1,"Thursday","Thursday","Friday",3,1,0,0,266,"",4,4,4,21.9458333333333
"296",296,0,28,3.04166666666667,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,0,0
"297",297,0,28,4.04166666666667,"Thursday","Friday","Tuesday",1,2,0,0,266,"",4,4,3,0.114444444444444
"298",298,0,4,5,"Thursday","Tuesday","Sunday",1,2,0,0,266,"",1,1,0,0
"299",299,0,32,1,"Thursday","Monday","Tuesday",1,2,0,0,266,"",1,1,1,0
"300",300,0,94,3,"Thursday","Monday","Thursday",1,2,0,0,266,"",1,1,0,0
"302",302,0,7,2,"Thursday","Friday","Sunday",1,1,0,0,266,"",2,2,0,0.0791666666666667
"305",305,0,61,4,"Friday","Wednesday","Sunday",1,2,0,0,7,"mercure",9,9,5,164.335
"306",306,0,8,2,"Thursday","Saturday","Monday",1,2,0,0,266,"",2,2,0,0.0152777777777778
"310",310,0,34,1,"Thursday","Thursday","Friday",1,1,0,0,266,"",2,2,1,0.0155555555555556
"312",312,0,15,2,"Thursday","Friday","Sunday",1,2,1,0,266,"",2,2,0,0.0186111111111111
"314",314,0,29,3.04166666666667,"Thursday","Saturday","Tuesday",2,2,0,0,2,"boutique",4,4,2,4.13972222222222
"315",315,0,29,3.04166666666667,"Thursday","Friday","Monday",1,2,1,0,266,"",2,2,0,0.0180555555555556
"317",317,0,91,3,"Thursday","Friday","Monday",1,2,0,0,266,"",2,6,6,1.60388888888889
"318",318,0,6,1,"Thursday","Thursday","Friday",3,1,0,0,266,"",6,10,6,0.819166666666667
"323",323,0,51,3,"Tuesday","Friday","Monday",1,2,0,0,272,"",4,4,0,296.858611111111
"324",324,1,23,5,"Thursday","Saturday","Thursday",1,2,0,50,266,"four seasons gresham",2,2,6,1.39833333333333
"325",325,0,47,4,"Friday","Thursday","Monday",1,2,0,0,266,"maytashotel",6,6,0,34.4625
"327",327,0,12,1,"Thursday","Wednesday","Thursday",1,1,0,0,266,"",1,1,0,0
"328",328,0,29,3.04166666666667,"Thursday","Friday","Monday",1,4,0,0,266,"",1,1,3,0
"329",329,0,29,4.04166666666667,"Thursday","Saturday","Wednesday",1,2,0,0,266,"",6,7,3,0.228055555555556
"330",330,0,24,4,"Thursday","Monday","Friday",1,2,4,0,266,"",3,3,0,0.0138888888888889
"331",331,0,21,3,"Thursday","Friday","Monday",1,2,0,0,266,"plazzo zichy",7,7,0,0.0533333333333333
"332",332,0,24,5,"Thursday","Monday","Saturday",1,2,2,0,266,"",2,2,1,0.139166666666667
"334",334,0,90,5,"Thursday","Thursday","Tuesday",1,2,0,0,266,"",2,2,0,0.0127777777777778
"335",335,0,14,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",2,2,1,0.00388888888888889
"336",336,0,7,3,"Thursday","Thursday","Sunday",1,2,0,0,266,"",2,2,2,0.00777777777777778
"337",337,0,36,3,"Sunday","Tuesday","Friday",1,2,0,0,268,"",8,8,9,268.091944444444
"338",338,1,31,2,"Monday","Friday","Sunday",1,2,0,0,266,"",18,21,40,126.266111111111
"339",339,0,27,6.04166666666667,"Thursday","Thursday","Wednesday",1,2,0,0,266,"",2,3,4,0.00638888888888889
"340",340,0,92,7,"Thursday","Saturday","Saturday",1,2,1,0,266,"",4,5,2,0.218055555555556
"341",341,0,80,3,"Thursday","Monday","Thursday",1,4,0,0,266,"",2,2,0,0.0133333333333333
"342",342,0,10,4,"Thursday","Sunday","Thursday",1,2,0,40,82,"",16,18,7,72.9222222222222
"343",343,0,28,3,"Thursday","Thursday","Sunday",2,1,2,0,266,"",10,13,5,24.5630555555556
"344",344,1,12,1,"Thursday","Wednesday","Thursday",1,1,0,0,266,"starlight suitenst",9,9,6,0.595833333333333
"345",345,0,51,2,"Thursday","Saturday","Monday",1,2,0,0,266,"",1,1,0,0
"346",346,0,39,2,"Monday","Friday","Sunday",1,2,0,0,266,"",6,6,6,282.345833333333
"347",347,0,78,2,"Tuesday","Wednesday","Friday",1,2,0,0,272,"",4,4,1,285.123055555556
"348",348,0,8,3,"Thursday","Friday","Monday",1,1,0,0,267,"",1,5,4,0
"349",349,0,7,3,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,0,0
"351",351,0,28,3.04166666666667,"Thursday","Friday","Monday",1,2,0,0,266,"",1,1,0,0
"353",353,0,4,1,"Thursday","Monday","Tuesday",1,2,0,0,1454,"minotel¨",5,5,2,165.941666666667
"354",354,0,11,1,"Thursday","Monday","Tuesday",2,1,0,0,266,"",1,1,1,0
"355",355,0,10,3,"Thursday","Sunday","Wednesday",1,1,0,0,267,"Starlight Suiten Hotel, Mérleg utca 6, Budapest",2,2,0,0.005
"356",356,0,37,2,"Thursday","Saturday","Monday",1,2,0,0,267,"",1,1,0,0
"357",357,0,14,9,"Thursday","Friday","Sunday",1,1,0,0,266,"",1,1,0,0
"358",358,1,27,2,"Thursday","Thursday","Saturday",1,2,0,0,266,"",2,3,3,0.0158333333333333
"359",359,0,8,2,"Thursday","Friday","Sunday",2,2,0,0,266,"",1,1,3,0
"360",360,0,41,4,"Thursday","Wednesday","Sunday",1,2,0,20,266,"",1,1,0,0
"361",361,0,15,1,"Thursday","Saturday","Sunday",1,2,0,0,266,"",2,2,1,0.01
"362",362,1,10,2,"Thursday","Monday","Wednesday",2,2,0,0,266,"",21,26,13,10.7513888888889
"363",363,0,78,3,"Thursday","Saturday","Tuesday",1,2,0,0,266,"",5,6,3,0.109722222222222
"364",364,0,1,3,"Thursday","Saturday","Tuesday",1,2,0,0,266,"",1,1,1,0
"372",372,0,6,3,"Monday","Monday","Thursday",1,2,0,0,268,"",2,2,0,239.979722222222
"374",374,0,18,5,"Sunday","Friday","Wednesday",1,2,0,0,266,"",4,32,0,60.4338888888889
"375",375,0,14,2,"Friday","Saturday","Monday",1,1,0,0,266,"",1,1,1,0
"376",376,0,4,4,"Friday","Wednesday","Sunday",1,2,0,50,15,"",2,2,0,0.00611111111111111
"377",377,0,56,5,"Friday","Friday","Wednesday",2,2,0,30,162,"",2,4,3,0.0208333333333333
"380",380,0,35,2,"Thursday","Thursday","Saturday",1,3,0,0,267,"",10,12,4,141.061111111111
"381",381,0,33,3,"Friday","Thursday","Sunday",1,2,0,40,82,"",1,1,0,0
"382",382,0,35,7,"Friday","Saturday","Saturday",1,1,0,0,266,"novotel centrum",2,2,0,0.0075
"383",383,1,65,2,"Friday","Monday","Wednesday",1,1,0,0,1,"Rubin Wellness & Conference",33,34,31,52.4186111111111
"385",385,0,18,3,"Monday","Friday","Monday",1,1,0,0,266,"",2,4,2,71.1322222222222
"388",388,0,13,4,"Sunday","Saturday","Wednesday",1,2,2,40,82,"",8,8,12,46.1555555555556
"389",389,1,20,5,"Friday","Friday","Wednesday",1,2,0,0,266,"",3,3,3,0.0538888888888889
"390",390,0,130,7,"Friday","Wednesday","Wednesday",1,2,0,0,266,"",1,1,0,0
"391",391,0,12,3,"Friday","Thursday","Sunday",1,1,0,40,82,"",6,6,12,0.2625
"392",392,0,55,3,"Friday","Thursday","Sunday",1,1,0,0,266,"",1,1,0,0
"393",393,1,7,1,"Friday","Saturday","Sunday",1,1,0,0,266,"",2,2,2,0.0105555555555556
"394",394,0,1,3,"Friday","Saturday","Tuesday",1,2,0,0,266,"",3,3,2,35.7330555555556
"395",395,0,9,3,"Friday","Monday","Thursday",1,1,0,0,266,"",1,1,0,0
"397",397,0,0,2,"Friday","Saturday","Monday",1,3,0,0,266,"",1,1,1,0
"398",398,0,29,4.04166666666667,"Friday","Saturday","Wednesday",1,2,1,40,82,"",7,12,6,0.975555555555556
