"","ID","purchase","s.ahead","d.stay","s.weekd","in.weekd","out.weekd","room","adult","child","minstar","match","s.name","n.search","page","click","time"
"8823",8823,0,63,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"8824",8824,0,75,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8825",8825,0,63,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8826",8826,0,11,2,"Monday","Friday","Sunday",1,2,0,0,106,"",1,1,1,0
"8827",8827,0,21,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8828",8828,0,34,1,"Monday","Sunday","Monday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8829",8829,0,52,1,"Monday","Thursday","Friday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8830",8830,1,97,2,"Monday","Monday","Wednesday",1,2,0,30,72,"",8,11,6,1.22638888888889
"8831",8831,0,14,1,"Monday","Monday","Tuesday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"8832",8832,0,72,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Le Meridien Cancun Resort and Spa",1,1,0,0
"8833",8833,0,3,1,"Monday","Thursday","Friday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8834",8834,0,52,5,"Monday","Thursday","Tuesday",1,1,0,0,106,"",4,4,1,0.0316666666666667
"8835",8835,0,30,3,"Monday","Thursday","Sunday",1,1,0,0,106,"",2,2,1,0.00638888888888889
"8836",8836,0,74,1,"Monday","Friday","Saturday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8838",8838,0,45,2,"Monday","Thursday","Saturday",1,1,0,0,106,"",3,3,0,0.0269444444444444
"8839",8839,0,26,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
